"idEvento";"uriEvento";"idOrgao";"uriOrgao";"siglaOrgao"
"67152";"https://dadosabertos.camara.leg.br/api/v2/eventos/67152";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67164";"https://dadosabertos.camara.leg.br/api/v2/eventos/67164";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67167";"https://dadosabertos.camara.leg.br/api/v2/eventos/67167";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67171";"https://dadosabertos.camara.leg.br/api/v2/eventos/67171";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67207";"https://dadosabertos.camara.leg.br/api/v2/eventos/67207";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67208";"https://dadosabertos.camara.leg.br/api/v2/eventos/67208";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67200";"https://dadosabertos.camara.leg.br/api/v2/eventos/67200";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67158";"https://dadosabertos.camara.leg.br/api/v2/eventos/67158";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67195";"https://dadosabertos.camara.leg.br/api/v2/eventos/67195";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67151";"https://dadosabertos.camara.leg.br/api/v2/eventos/67151";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67198";"https://dadosabertos.camara.leg.br/api/v2/eventos/67198";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67203";"https://dadosabertos.camara.leg.br/api/v2/eventos/67203";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67155";"https://dadosabertos.camara.leg.br/api/v2/eventos/67155";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67170";"https://dadosabertos.camara.leg.br/api/v2/eventos/67170";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67173";"https://dadosabertos.camara.leg.br/api/v2/eventos/67173";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67176";"https://dadosabertos.camara.leg.br/api/v2/eventos/67176";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67146";"https://dadosabertos.camara.leg.br/api/v2/eventos/67146";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67163";"https://dadosabertos.camara.leg.br/api/v2/eventos/67163";"539056";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539056";"TESTECOM"
"67165";"https://dadosabertos.camara.leg.br/api/v2/eventos/67165";"539384";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539384";"CPOVOS"
"67120";"https://dadosabertos.camara.leg.br/api/v2/eventos/67120";"539407";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539407";"CEXMABRU"
"67177";"https://dadosabertos.camara.leg.br/api/v2/eventos/67177";"539407";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539407";"CEXMABRU"
"67186";"https://dadosabertos.camara.leg.br/api/v2/eventos/67186";"539409";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539409";"GTSTN"
"67188";"https://dadosabertos.camara.leg.br/api/v2/eventos/67188";"539409";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539409";"GTSTN"
"67187";"https://dadosabertos.camara.leg.br/api/v2/eventos/67187";"539409";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539409";"GTSTN"
"67196";"https://dadosabertos.camara.leg.br/api/v2/eventos/67196";"539409";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539409";"GTSTN"
"67118";"https://dadosabertos.camara.leg.br/api/v2/eventos/67118";"539409";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539409";"GTSTN"
"67119";"https://dadosabertos.camara.leg.br/api/v2/eventos/67119";"539409";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539409";"GTSTN"
