"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:38";"Sim";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/204404.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:15";"Sim";"220581";"https://dadosabertos.camara.leg.br/api/v2/deputados/220581";"Luciano Amaral";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"AL";"57";"https://www.camara.leg.br/internet/deputado/bandep/220581.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:01:37";"Sim";"103758";"https://dadosabertos.camara.leg.br/api/v2/deputados/103758";"Luciano Azevedo";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/103758.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:28";"Sim";"178931";"https://dadosabertos.camara.leg.br/api/v2/deputados/178931";"Luciano Ducci";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"PR";"57";"https://www.camara.leg.br/internet/deputado/bandep/178931.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:05:39";"Sim";"220616";"https://dadosabertos.camara.leg.br/api/v2/deputados/220616";"Luciano Vieira";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220616.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:57:15";"Artigo 17";"178954";"https://dadosabertos.camara.leg.br/api/v2/deputados/178954";"Lucio Mosquini";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"RO";"57";"https://www.camara.leg.br/internet/deputado/bandep/178954.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:03:17";"Sim";"222429";"https://dadosabertos.camara.leg.br/api/v2/deputados/222429";"Luis Carlos Gomes";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/222429.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:05:34";"Sim";"160510";"https://dadosabertos.camara.leg.br/api/v2/deputados/160510";"Luis Tibé";"AVANTE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/160510.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:37";"Sim";"204448";"https://dadosabertos.camara.leg.br/api/v2/deputados/204448";"Luiz Antônio Corrêa";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/204448.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:07:00";"Sim";"141485";"https://dadosabertos.camara.leg.br/api/v2/deputados/141485";"Luiz Carlos Busato";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/141485.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:29";"Sim";"204485";"https://dadosabertos.camara.leg.br/api/v2/deputados/204485";"Luiz Carlos Motta";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204485.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:31";"Sim";"74041";"https://dadosabertos.camara.leg.br/api/v2/deputados/74041";"Luiz Couto";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PB";"57";"https://www.camara.leg.br/internet/deputado/bandep/74041.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:03:03";"Sim";"141487";"https://dadosabertos.camara.leg.br/api/v2/deputados/141487";"Luiz Fernando Faria";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/141487.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:11:42";"Sim";"220658";"https://dadosabertos.camara.leg.br/api/v2/deputados/220658";"Luiz Gastão";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/220658.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:01:57";"Não";"204455";"https://dadosabertos.camara.leg.br/api/v2/deputados/204455";"Luiz Lima";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/204455.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:30";"Não";"204526";"https://dadosabertos.camara.leg.br/api/v2/deputados/204526";"Luiz Philippe de Orleans e Bragança";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204526.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:01:37";"Sim";"178866";"https://dadosabertos.camara.leg.br/api/v2/deputados/178866";"Luizianne Lins";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/178866.jpg"
